Period,Trade Flow,Reporter,Partner,Commodity Code,Trade Value (M $),Net Weight(M kgs )
2017,Import,USA,Ukraine,1001,0.01,0.0
2017,Import,USA,Egypt,1001,0.0,0.0
2018,Import,USA,World,1001,799.37,3136.32
2018,Import,USA,Argentina,1001,1.89,6.23
2018,Import,USA,Armenia,1001,0.0,0.01
2018,Import,USA,Canada,1001,796.63,3129.29
2018,Import,USA,Chile,1001,0.04,0.04
2018,Import,USA,China,1001,0.02,0.11
2018,Import,USA,Germany,1001,0.03,0.02
2018,Import,USA,Israel,1001,0.01,0.0
2018,Import,USA,Italy,1001,0.54,0.29
2018,Import,USA,Lebanon,1001,0.0,0.0
2018,Import,USA,"Other Asia, nes",1001,0.01,0.01
2018,Import,USA,Pakistan,1001,0.01,0.02
2018,Import,USA,Peru,1001,0.06,0.03
2018,Import,USA,India,1001,0.07,0.1
2018,Import,USA,Türkiye,1001,0.01,0.01
2018,Import,USA,United Kingdom,1001,0.04,0.16
2019,Import,USA,World,1001,432.37,1836.13
2019,Import,USA,Argentina,1001,5.79,17.63
2019,Import,USA,Australia,1001,0.01,0.0
2019,Import,USA,Austria,1001,0.02,0.01
2019,Import,USA,Armenia,1001,0.0,0.0
2019,Import,USA,Canada,1001,425.64,1817.93
2019,Import,USA,China,1001,0.0,0.0
2019,Import,USA,France,1001,0.01,0.0
2019,Import,USA,State of Palestine,1001,0.0,0.0
2019,Import,USA,Germany,1001,0.02,0.01
2019,Import,USA,Israel,1001,0.02,0.01
2019,Import,USA,Italy,1001,0.65,0.39
2019,Import,USA,Mexico,1001,0.01,0.01
2019,Import,USA,"Other Asia, nes",1001,0.01,0.01
2019,Import,USA,Pakistan,1001,0.02,0.03
2019,Import,USA,Peru,1001,0.05,0.02
2019,Import,USA,India,1001,0.08,0.06
2019,Import,USA,United Arab Emirates,1001,0.01,0.02
2019,Import,USA,Türkiye,1001,0.0,0.0
2019,Import,USA,United Kingdom,1001,0.04,0.0
2020,Import,USA,World,1001,467.78,1909.89
2020,Import,USA,Argentina,1001,4.2,12.11
2020,Import,USA,Armenia,1001,0.01,0.01
2020,Import,USA,Canada,1001,443.9,1812.21
2020,Import,USA,Dominican Rep.,1001,0.03,0.02
2020,Import,USA,France,1001,7.66,32.41
2020,Import,USA,Germany,1001,0.05,0.03
2020,Import,USA,Israel,1001,0.02,0.01
2020,Import,USA,Italy,1001,0.74,0.45
2020,Import,USA,Jordan,1001,0.01,0.0
2020,Import,USA,Lebanon,1001,0.01,0.0
2020,Import,USA,Peru,1001,0.09,0.04
2020,Import,USA,India,1001,0.01,0.0
2020,Import,USA,Slovakia,1001,0.01,0.0
2020,Import,USA,Switzerland,1001,0.01,0.0
2020,Import,USA,Ukraine,1001,0.01,0.01
2020,Import,USA,United Kingdom,1001,11.03,52.59
2021,Import,USA,World,1001,402.26,1450.86
2021,Import,USA,Algeria,1001,0.01,0.0
2021,Import,USA,Argentina,1001,0.01,0.0
2021,Import,USA,Armenia,1001,0.05,0.05
2021,Import,USA,Canada,1001,398.3,1441.51
2021,Import,USA,China,1001,0.0,0.0
2021,Import,USA,Dominican Rep.,1001,0.03,0.02
2021,Import,USA,Germany,1001,0.0,0.0
2021,Import,USA,Guatemala,1001,0.0,0.0
2021,Import,USA,Israel,1001,0.01,0.0
2021,Import,USA,Italy,1001,0.96,0.54
2021,Import,USA,Jordan,1001,0.04,0.01
2021,Import,USA,Lebanon,1001,0.0,0.0
2021,Import,USA,Mexico,1001,0.37,1.02
2021,Import,USA,"Other Asia, nes",1001,0.0,0.0
2021,Import,USA,Peru,1001,0.07,0.04
2021,Import,USA,Poland,1001,2.22,7.55
2021,Import,USA,India,1001,0.06,0.03
2021,Import,USA,Switzerland,1001,0.0,0.0
2021,Import,USA,Ukraine,1001,0.0,0.0
2021,Import,USA,Egypt,1001,0.02,0.01
2021,Import,USA,United Kingdom,1001,0.07,0.05
2022,Import,USA,World,1001,710.96,1677.46
2022,Import,USA,Argentina,1001,2.08,4.81
2022,Import,USA,Austria,1001,0.01,0.0
2022,Import,USA,Bangladesh,1001,0.0,0.0
2022,Import,USA,Armenia,1001,0.01,0.0
2022,Import,USA,Canada,1001,706.76,1670.25
2022,Import,USA,Dominican Rep.,1001,0.04,0.02
2022,Import,USA,Germany,1001,0.02,0.02
2022,Import,USA,Ghana,1001,0.0,0.0
2022,Import,USA,Israel,1001,0.0,0.0
2022,Import,USA,Italy,1001,0.98,0.55
2022,Import,USA,Lithuania,1001,0.02,0.01
2022,Import,USA,Mexico,1001,0.47,1.29
2022,Import,USA,Nepal,1001,0.0,0.0
2022,Import,USA,Netherlands,1001,0.0,0.0
2022,Import,USA,New Zealand,1001,0.37,0.41
2022,Import,USA,Peru,1001,0.07,0.04
2022,Import,USA,India,1001,0.03,0.02
2022,Import,USA,Switzerland,1001,0.01,0.0
2022,Import,USA,Syria,1001,0.0,0.0
2022,Import,USA,Egypt,1001,0.01,0.0
2022,Import,USA,United Kingdom,1001,0.06,0.01
2023,Import,USA,World,1001,895.67,2471.09
2023,Import,USA,Algeria,1001,0.0,0.0
2023,Import,USA,Argentina,1001,7.06,15.48
2023,Import,USA,Armenia,1001,0.04,0.02
2023,Import,USA,Brazil,1001,0.0,0.0
2023,Import,USA,Canada,1001,764.74,2068.0
2023,Import,USA,Dominican Rep.,1001,0.04,0.02
2023,Import,USA,Ecuador,1001,0.0,0.0
2023,Import,USA,France,1001,12.73,39.06
2023,Import,USA,Germany,1001,34.5,125.85
2023,Import,USA,Israel,1001,0.0,0.0
2023,Import,USA,Italy,1001,0.66,0.42
2023,Import,USA,Jordan,1001,0.01,0.0
2023,Import,USA,Mexico,1001,2.8,7.36
2023,Import,USA,New Zealand,1001,1.5,5.5
2023,Import,USA,Peru,1001,0.11,0.05
2023,Import,USA,Poland,1001,71.37,209.28
2023,Import,USA,India,1001,0.01,0.01
2023,Import,USA,Syria,1001,0.0,0.0
2023,Import,USA,United Kingdom,1001,0.08,0.02
2012,Export,USA,World,1001,8188.71,25822.75
2012,Export,USA,Afghanistan,1001,3.6,14.01
2012,Export,USA,Algeria,1001,90.46,316.57
2012,Export,USA,Australia,1001,0.0,0.0
2012,Export,USA,Bahamas,1001,0.03,0.09
2012,Export,USA,Bangladesh,1001,29.32,111.29
2012,Export,USA,Barbados,1001,6.25,17.83
2012,Export,USA,Belgium,1001,18.07,51.54
2012,Export,USA,Brazil,1001,13.38,46.0
2012,Export,USA,Belize,1001,6.5,19.97
2012,Export,USA,Myanmar,1001,2.71,7.05
2012,Export,USA,Burundi,1001,1.17,3.78
2012,Export,USA,Cambodia,1001,0.39,0.97
2012,Export,USA,Cameroon,1001,5.15,16.1
2012,Export,USA,Canada,1001,35.58,97.44
2012,Export,USA,Chile,1001,82.06,275.54
2012,Export,USA,China,1001,213.54,594.48
2012,Export,USA,Colombia,1001,139.99,440.82
2012,Export,USA,Congo,1001,1.72,5.23
2012,Export,USA,Dem. Rep. of the Congo,1001,13.34,47.46
2012,Export,USA,Costa Rica,1001,42.34,129.98
2012,Export,USA,Dominica,1001,3.46,9.94
2012,Export,USA,Dominican Rep.,1001,174.2,521.96
2012,Export,USA,Ecuador,1001,60.56,187.33
2012,Export,USA,El Salvador,1001,85.82,274.78
2012,Export,USA,Ethiopia,1001,52.51,154.18
2012,Export,USA,Djibouti,1001,29.13,86.69
2012,Export,USA,Germany,1001,4.88,15.03
2012,Export,USA,Ghana,1001,33.38,95.28
2012,Export,USA,Grenada,1001,6.22,16.99
2012,Export,USA,Guatemala,1001,137.78,444.25
2012,Export,USA,Guyana,1001,0.0,0.02
2012,Export,USA,Haiti,1001,6.95,22.96
2012,Export,USA,Honduras,1001,63.79,185.62
2012,Export,USA,"China, Hong Kong SAR",1001,0.15,0.43
2012,Export,USA,Indonesia,1001,229.52,729.97
2012,Export,USA,Iran,1001,89.23,323.25
2012,Export,USA,Iraq,1001,56.78,208.9
2012,Export,USA,Israel,1001,73.3,236.5
2012,Export,USA,Italy,1001,129.96,358.9
2012,Export,USA,Jamaica,1001,57.95,178.61
2012,Export,USA,Japan,1001,1078.8,3391.23
2012,Export,USA,Jordan,1001,1.84,5.0
2012,Export,USA,Kenya,1001,6.68,22.0
2012,Export,USA,Rep. of Korea,1001,645.32,2243.32
2012,Export,USA,Liberia,1001,4.89,14.83
2012,Export,USA,Madagascar,1001,2.93,10.0
2012,Export,USA,Malawi,1001,5.55,19.24
2012,Export,USA,Malaysia,1001,30.16,85.04
2012,Export,USA,Mexico,1001,1129.57,3652.39
2012,Export,USA,"Other Asia, nes",1001,356.96,996.66
2012,Export,USA,Morocco,1001,0.04,0.05
2012,Export,USA,Mozambique,1001,27.97,83.62
2012,Export,USA,Namibia,1001,7.05,18.68
2012,Export,USA,Netherlands,1001,9.45,34.35
2012,Export,USA,Sint Maarten,1001,0.01,0.0
2012,Export,USA,Nicaragua,1001,15.87,43.16
2012,Export,USA,Nigeria,1001,965.48,2937.46
2012,Export,USA,Norway,1001,0.0,0.0
2012,Export,USA,Pakistan,1001,4.68,21.23
2012,Export,USA,Panama,1001,45.37,136.63
2012,Export,USA,Peru,1001,70.65,226.31
2012,Export,USA,Philippines,1001,611.71,1873.7
2012,Export,USA,Portugal,1001,6.01,23.91
2012,Export,USA,Saint Vincent and the Grenadines,1001,16.53,36.76
2012,Export,USA,Saudi Arabia,1001,59.25,224.29
2012,Export,USA,Sierra Leone,1001,1.36,6.0
2012,Export,USA,Singapore,1001,18.73,64.69
2012,Export,USA,Viet Nam,1001,45.75,130.89
2012,Export,USA,South Africa,1001,11.69,38.88
2012,Export,USA,Spain,1001,130.1,496.82
2012,Export,USA,Sweden,1001,0.69,1.6
2012,Export,USA,Thailand,1001,181.9,547.37
2012,Export,USA,Trinidad and Tobago,1001,40.27,118.18
2012,Export,USA,United Arab Emirates,1001,7.71,22.05
2012,Export,USA,Tunisia,1001,3.14,9.51
2012,Export,USA,Türkiye,1001,7.67,21.01
2012,Export,USA,Uganda,1001,1.37,5.12
2012,Export,USA,Egypt,1001,228.12,819.21
2012,Export,USA,United Kingdom,1001,17.12,47.97
2012,Export,USA,United Rep. of Tanzania,1001,1.97,6.34
2012,Export,USA,Uruguay,1001,0.02,0.02
2012,Export,USA,Venezuela,1001,264.12,743.28
2012,Export,USA,Yemen,1001,123.02,396.18
2013,Export,USA,World,1001,10524.73,33118.42
2013,Export,USA,Algeria,1001,59.17,179.32
2013,Export,USA,Bahamas,1001,0.01,0.03
2013,Export,USA,Bangladesh,1001,24.96,77.87
2013,Export,USA,Barbados,1001,6.38,17.58
2013,Export,USA,Belgium,1001,27.94,86.56
2013,Export,USA,Bermuda,1001,0.01,0.04
2013,Export,USA,Bolivia (Plurinational State of),1001,3.64,15.32
2013,Export,USA,Brazil,1001,1226.11,3897.95
2013,Export,USA,Belize,1001,7.0,20.14
2013,Export,USA,Myanmar,1001,7.16,20.42
2013,Export,USA,Burundi,1001,1.53,4.33
2013,Export,USA,Cameroon,1001,5.07,16.5
2013,Export,USA,Canada,1001,17.59,40.98
2013,Export,USA,Sri Lanka,1001,51.65,175.94
2013,Export,USA,Chile,1001,194.28,653.82
2013,Export,USA,China,1001,1283.02,4282.71
2013,Export,USA,Colombia,1001,229.65,732.31
2013,Export,USA,Congo,1001,8.8,27.5
2013,Export,USA,Dem. Rep. of the Congo,1001,2.22,8.04
2013,Export,USA,Costa Rica,1001,43.94,140.28
2013,Export,USA,Dominican Rep.,1001,152.63,468.76
2013,Export,USA,Ecuador,1001,54.41,178.71
2013,Export,USA,El Salvador,1001,71.48,229.64
2013,Export,USA,Ethiopia,1001,44.09,135.72
2013,Export,USA,France,1001,0.01,0.01
2013,Export,USA,Djibouti,1001,9.84,28.31
2013,Export,USA,Gambia,1001,1.98,6.3
2013,Export,USA,Germany,1001,6.65,19.75
2013,Export,USA,Ghana,1001,9.49,29.47
2013,Export,USA,Greece,1001,0.01,0.0
2013,Export,USA,Grenada,1001,6.17,16.61
2013,Export,USA,Guatemala,1001,149.56,475.96
2013,Export,USA,Guyana,1001,4.92,14.75
2013,Export,USA,Haiti,1001,40.0,124.98
2013,Export,USA,Honduras,1001,79.78,235.51
2013,Export,USA,"China, Hong Kong SAR",1001,0.75,2.03
2013,Export,USA,Indonesia,1001,213.46,722.2
2013,Export,USA,Ireland,1001,14.45,47.43
2013,Export,USA,Israel,1001,62.53,196.07
2013,Export,USA,Italy,1001,242.32,743.0
2013,Export,USA,Côte d'Ivoire,1001,1.37,4.4
2013,Export,USA,Jamaica,1001,62.13,189.5
2013,Export,USA,Japan,1001,1027.74,3128.67
2013,Export,USA,Jordan,1001,18.27,45.0
2013,Export,USA,Kenya,1001,4.21,10.53
2013,Export,USA,Rep. of Korea,1001,340.3,1046.44
2013,Export,USA,Lebanon,1001,8.4,25.63
2013,Export,USA,Liberia,1001,5.08,15.53
2013,Export,USA,Libya,1001,2.58,7.7
2013,Export,USA,Malawi,1001,4.88,15.0
2013,Export,USA,Malaysia,1001,65.68,199.54
2013,Export,USA,Malta,1001,0.94,3.0
2013,Export,USA,Mauritania,1001,8.98,31.3
2013,Export,USA,Mexico,1001,912.96,2905.92
2013,Export,USA,"Other Asia, nes",1001,372.0,1056.12
2013,Export,USA,Morocco,1001,31.53,98.41
2013,Export,USA,Mozambique,1001,5.57,16.05
2013,Export,USA,Namibia,1001,5.63,12.17
2013,Export,USA,Netherlands,1001,0.01,0.04
2013,Export,USA,Nicaragua,1001,31.69,93.1
2013,Export,USA,Nigeria,1001,957.38,2959.16
2013,Export,USA,Norway,1001,0.01,0.0
2013,Export,USA,Pakistan,1001,8.19,24.33
2013,Export,USA,Panama,1001,42.39,128.44
2013,Export,USA,Peru,1001,205.93,650.66
2013,Export,USA,Philippines,1001,634.83,1985.06
2013,Export,USA,Portugal,1001,19.77,62.97
2013,Export,USA,Russian Federation,1001,0.0,0.01
2013,Export,USA,Saint Vincent and the Grenadines,1001,11.14,26.78
2013,Export,USA,Saudi Arabia,1001,16.82,57.9
2013,Export,USA,Senegal,1001,2.06,6.6
2013,Export,USA,Singapore,1001,15.84,48.34
2013,Export,USA,Viet Nam,1001,32.29,99.61
2013,Export,USA,South Africa,1001,25.18,91.46
2013,Export,USA,Spain,1001,63.35,215.13
2013,Export,USA,Sweden,1001,0.24,0.49
2013,Export,USA,Thailand,1001,167.48,511.84
2013,Export,USA,Trinidad and Tobago,1001,42.71,124.91
2013,Export,USA,United Arab Emirates,1001,6.99,22.3
2013,Export,USA,Türkiye,1001,107.01,341.3
2013,Export,USA,Ukraine,1001,0.0,0.0
2013,Export,USA,Egypt,1001,509.09,1611.73
2013,Export,USA,United Kingdom,1001,21.07,69.47
2013,Export,USA,United Rep. of Tanzania,1001,9.64,30.0
2013,Export,USA,Venezuela,1001,206.93,580.34
2013,Export,USA,Yemen,1001,136.32,466.51
2013,Export,USA,"Areas, nes",1001,7.48,26.14
2014,Export,USA,World,1001,7780.93,24486.63
2014,Export,USA,Algeria,1001,70.44,201.66
2014,Export,USA,Bahamas,1001,0.0,0.01
2014,Export,USA,Bangladesh,1001,18.34,57.96
2014,Export,USA,Barbados,1001,8.45,26.72
2014,Export,USA,Belgium,1001,0.02,0.06
2014,Export,USA,Bolivia (Plurinational State of),1001,1.36,4.31
2014,Export,USA,Brazil,1001,744.73,2353.75
2014,Export,USA,Belize,1001,5.17,16.33
2014,Export,USA,Myanmar,1001,5.19,16.31
2014,Export,USA,Cameroon,1001,6.27,19.81
2014,Export,USA,Canada,1001,19.91,57.07
2014,Export,USA,Sri Lanka,1001,35.17,111.15
2014,Export,USA,Chile,1001,92.07,290.53
2014,Export,USA,China,1001,194.28,614.14
2014,Export,USA,Colombia,1001,202.05,637.18
2014,Export,USA,Congo,1001,5.82,18.41
2014,Export,USA,Dem. Rep. of the Congo,1001,6.36,20.1
2014,Export,USA,Costa Rica,1001,44.1,139.37
2014,Export,USA,Dominica,1001,0.01,0.03
2014,Export,USA,Dominican Rep.,1001,152.86,483.13
2014,Export,USA,Ecuador,1001,87.2,274.36
2014,Export,USA,El Salvador,1001,85.96,271.1
2014,Export,USA,Ethiopia,1001,51.43,162.53
2014,Export,USA,Gabon,1001,0.51,1.62
2014,Export,USA,Germany,1001,0.02,0.05
2014,Export,USA,Ghana,1001,21.44,67.74
2014,Export,USA,Greece,1001,0.01,0.01
2014,Export,USA,Grenada,1001,5.42,17.13
2014,Export,USA,Guatemala,1001,134.27,423.46
2014,Export,USA,Guyana,1001,11.01,34.79
2014,Export,USA,Haiti,1001,15.5,48.97
2014,Export,USA,Honduras,1001,77.98,246.46
2014,Export,USA,"China, Hong Kong SAR",1001,1.66,5.25
2014,Export,USA,Indonesia,1001,273.99,866.86
2014,Export,USA,Iraq,1001,15.49,48.95
2014,Export,USA,Israel,1001,55.64,163.8
2014,Export,USA,Italy,1001,212.28,627.21
2014,Export,USA,Côte d'Ivoire,1001,2.13,6.72
2014,Export,USA,Jamaica,1001,55.59,175.7
2014,Export,USA,Japan,1001,915.26,2892.15
2014,Export,USA,Kenya,1001,6.31,19.93
2014,Export,USA,Rep. of Korea,1001,415.74,1313.99
2014,Export,USA,Liberia,1001,3.3,10.42
2014,Export,USA,Malaysia,1001,60.24,188.97
2014,Export,USA,Mali,1001,1.17,3.69
2014,Export,USA,Mexico,1001,856.55,2707.13
2014,Export,USA,"Other Asia, nes",1001,348.75,1102.42
2014,Export,USA,Morocco,1001,2.26,7.15
2014,Export,USA,Mozambique,1001,1.16,3.67
2014,Export,USA,Netherlands,1001,2.67,7.64
2014,Export,USA,New Zealand,1001,0.11,0.31
2014,Export,USA,Nicaragua,1001,8.85,27.98
2014,Export,USA,Nigeria,1001,699.14,2207.09
2014,Export,USA,Norway,1001,0.0,0.0
2014,Export,USA,Pakistan,1001,1.87,5.91
2014,Export,USA,Panama,1001,34.01,106.98
2014,Export,USA,Peru,1001,165.04,521.61
2014,Export,USA,Philippines,1001,697.94,2205.89
2014,Export,USA,Anguilla,1001,0.02,0.06
2014,Export,USA,Saint Vincent and the Grenadines,1001,14.82,46.84
2014,Export,USA,Saudi Arabia,1001,19.5,61.44
2014,Export,USA,Senegal,1001,7.51,23.73
2014,Export,USA,Singapore,1001,18.28,57.78
2014,Export,USA,Viet Nam,1001,77.9,245.59
2014,Export,USA,South Africa,1001,15.76,49.8
2014,Export,USA,Spain,1001,22.42,68.03
2014,Export,USA,Suriname,1001,0.01,0.04
2014,Export,USA,Thailand,1001,154.2,487.31
2014,Export,USA,Togo,1001,1.03,3.24
2014,Export,USA,Trinidad and Tobago,1001,44.82,141.64
2014,Export,USA,United Arab Emirates,1001,7.36,23.31
2014,Export,USA,Egypt,1001,129.82,410.3
2014,Export,USA,United Kingdom,1001,21.95,69.35
2014,Export,USA,United Rep. of Tanzania,1001,9.66,30.53
2014,Export,USA,Burkina Faso,1001,2.2,6.96
2014,Export,USA,Venezuela,1001,204.71,637.33
2014,Export,USA,Yemen,1001,88.48,279.66
2015,Export,USA,World,1001,5632.59,21268.7
2015,Export,USA,Afghanistan,1001,7.25,30.02
2015,Export,USA,Algeria,1001,36.37,95.9
2015,Export,USA,Angola,1001,0.0,0.0
2015,Export,USA,Bangladesh,1001,15.62,75.09
2015,Export,USA,Barbados,1001,4.86,17.74
2015,Export,USA,Belgium,1001,5.65,20.98
2015,Export,USA,Bosnia Herzegovina,1001,0.0,0.02
2015,Export,USA,Brazil,1001,107.66,441.1
2015,Export,USA,Belize,1001,4.8,17.54
2015,Export,USA,Br. Virgin Isds,1001,0.01,0.01
2015,Export,USA,Myanmar,1001,3.28,13.28
2015,Export,USA,Cameroon,1001,2.28,8.3
2015,Export,USA,Canada,1001,14.0,43.77
2015,Export,USA,Sri Lanka,1001,32.0,126.1
2015,Export,USA,Chile,1001,58.42,260.14
2015,Export,USA,China,1001,160.46,548.77
2015,Export,USA,Colombia,1001,166.45,684.42
2015,Export,USA,Costa Rica,1001,38.16,153.52
2015,Export,USA,Dominican Rep.,1001,92.63,356.68
2015,Export,USA,Ecuador,1001,70.91,325.66
2015,Export,USA,El Salvador,1001,57.29,229.73
2015,Export,USA,Ethiopia,1001,55.73,248.8
2015,Export,USA,France,1001,0.01,0.02
2015,Export,USA,Djibouti,1001,1.13,4.53
2015,Export,USA,Germany,1001,0.04,0.08
2015,Export,USA,Ghana,1001,5.28,21.0
2015,Export,USA,Grenada,1001,4.68,17.14
2015,Export,USA,Guatemala,1001,139.3,547.49
2015,Export,USA,Guyana,1001,16.01,58.24
2015,Export,USA,Haiti,1001,26.18,104.81
2015,Export,USA,Honduras,1001,55.11,213.48
2015,Export,USA,"China, Hong Kong SAR",1001,1.84,4.74
2015,Export,USA,Indonesia,1001,105.18,428.31
2015,Export,USA,Iraq,1001,48.66,155.0
2015,Export,USA,Israel,1001,42.52,132.86
2015,Export,USA,Italy,1001,253.12,802.08
2015,Export,USA,Jamaica,1001,50.49,192.87
2015,Export,USA,Japan,1001,748.63,2767.45
2015,Export,USA,Kenya,1001,5.18,18.8
2015,Export,USA,Rep. of Korea,1001,309.19,1124.4
